id,fecha,ciudadano_nombre,ciudadano_dni,ciudadano_email,ciudadano_telefono,localidad,tipo_solicitud,departamento_destino,texto_solicitud,prioridad,estado,canal_ingreso
2de59bb4-1502-4d28-a198-5c56cfad4fe2,2024-11-04,Dr(a). Santino Agustin Ramos,46916087,jalvarez@example.net,+54 15 2398 8719,Neuquén,Queja,Ministerio de Obras Públicas,Las cloacas están colapsadas en mi cuadra hace 2 días.,Baja,Pendiente,Web
1299303c-d139-43a4-aec3-607ae640e041,2024-10-04,Lucas Ezequiel Agustín Bravo Fernandez,95941382,ffigueroa@example.org,+54 9 3756 3554,Rawson,Trámite,Ministerio de Ambiente,Quiero denunciar contaminación sonora de un comercio.,Media,Pendiente,Presencial
f02057bf-ecd1-4f8d-9d41-09597b40bf02,2024-09-25,Ciro Manuel Soria,40456015,dvillalba@example.net,+54 9 3343 8944,Merlo,Trámite,Ministerio de Salud,Necesito renovar mi credencial de obra social provincial.,Media,Resuelta,Teléfono
589b39b9-77dc-41f4-96ce-50a4d5f3e16d,2024-12-30,Ana Paula Juan Arias Diaz,89646971,etorres@example.org,+54 15 2232 8706,Río Gallegos,Consulta,Ministerio de Producción,¿Cómo me inscribo como monotributista social?,Media,Pendiente,Email
1d8735b6-548a-4881-8b44-217d8f164d71,2025-01-31,Mateo Rodriguez,52599892,valentinovazquez@example.com,+54 15 2734 9760,Mendoza,Queja,Ministerio de Obras Públicas,El puente de Posadas está cerrado y no hay alternativa.,Alta,En proceso,Presencial
5c306c8f-f561-4548-9fcd-348bfa223747,2025-06-11,Dr(a). Benicio Cruz,91050716,rodriguezjuan-cruz@example.net,+54 9 3514 2741,Córdoba,Consulta,Ministerio de Obras Públicas,¿Qué empresa se encarga del mantenimiento de semáforos?,Baja,En proceso,Web
16c09262-bcd6-4d32-acec-3cb46001401b,2025-07-20,Delfina Lopez Alvarez,79013348,francisco55@example.com,+54 15 2769 2039,Corrientes,Consulta,Ministerio de Producción,¿Dónde puedo capacitarme en gestión empresarial?,Baja,En proceso,Email
c3f0a304-2fa1-4ce8-8e19-34d65b897fb9,2025-02-24,Milagros Santino Garcia,24755239,miloperez@example.org,+54 9 3497 2009,Viedma,Queja,Registro de Personas,Saqué turno para DNI hace 5 meses y aún no me llamaron.,Media,Pendiente,Presencial
4819a513-a23e-4fa6-af45-7cae399ef469,2024-10-15,Thiago Benjamin Ferreyra Gonzalez,66958497,gonzalezgael@example.com,+54 9 3301 9122,Córdoba,Consulta,Ministerio de Educación,¿Cómo inscribo a mi hijo en el jardín de infantes de San Salvador de Jujuy?,Baja,Pendiente,Email
f2461a28-c786-4103-ab27-683222768b08,2025-01-31,Sr(a). Olivia Perez,73177648,juan-ignacio27@example.net,+54 15 2214 9106,Salta,Sugerencia,Ministerio de Educación,Deberían instalar wifi gratuito en todas las escuelas públicas.,Alta,En proceso,Teléfono
e56b0063-5747-4d11-8a8d-2a4f5e9689eb,2024-10-02,Dr(a). Lucas Benjamin Garcia,82026870,santino-benjamin96@example.org,+54 15 2686 1817,La Rioja,Consulta,Ministerio de Producción,¿Cómo me inscribo como monotributista social?,Alta,Resuelta,Teléfono
d5528228-a0d8-43eb-a37c-5fc44a1170b0,2024-12-14,Genaro Lopez,61448585,juan-sebastian59@example.org,+54 15 2183 0996,La Plata,Sugerencia,Ministerio de Seguridad,Sugiero crear una app para denuncias ciudadanas.,Alta,En proceso,Teléfono
8b55943c-65fc-4009-b66d-656b4dc22094,2025-07-04,Alma Emma Acuña Peralta,85108311,ciroledesma@example.org,+54 9 3280 6232,Mendoza,Trámite,Ministerio de Ambiente,Necesito permiso para poda de árbol en mi propiedad.,Alta,Resuelta,Web
15b4fcc7-aed0-42b0-90f2-a652500d0a6e,2024-11-23,Luana Uma Soto Lopez,27305830,rmaldonado@example.org,+54 15 2262 1856,Neuquén,Queja,ARBA,Me llegó una factura de patente automotor incorrecta.,Baja,Resuelta,Email
0efefdcb-41c7-4379-ad79-348a440a3d31,2025-03-25,Emilia Luna,29870178,paulasilva@example.org,+54 9 3583 4424,Córdoba,Trámite,Ministerio de Educación,Solicito constancia de alumno regular para mi hijo.,Baja,Resuelta,Email
01357823-817e-4184-93ae-d2654add6d3f,2025-07-09,Sr(a). Guillermina Ferreyra,38460564,victoria14@example.net,+54 15 2463 0934,Comodoro Rivadavia,Consulta,ARBA,¿Cómo solicito una factura de libre deuda?,Media,Resuelta,Teléfono
ff1077c1-76a7-4e23-9c22-66fa7c6d794e,2024-08-31,Maite Joaquín Gutierrez,73238977,dgonzalez@example.com,+54 9 3618 3945,Rawson,Consulta,Ministerio de Ambiente,¿Qué días pasa la recolección de residuos reciclables?,Baja,Resuelta,Email
c59d732c-662a-416c-85d3-580a082a5759,2025-02-02,Valentina  Victoria Nuñez Cruz,56929580,santino-agustin24@example.net,+54 15 2537 1935,Comodoro Rivadavia,Sugerencia,Ministerio de Educación,Sería bueno tener más talleres de oficios en las escuelas técnicas.,Alta,En proceso,Presencial
1ae5ae9a-3952-489d-a98b-dc3627a3db52,2024-12-11,Dr(a). Santino Sanchez,84624573,francisco29@example.net,+54 9 3128 3438,San Miguel de Tucumán,Consulta,Ministerio de Seguridad,¿Cómo puedo denunciar un robo online?,Baja,En proceso,Web
68add536-a47b-4c25-a801-67a97c519ec1,2025-06-16,Alma Rodriguez Sosa,27925434,medinajustina@example.net,+54 15 2344 9229,Formosa,Sugerencia,Ministerio de Salud,Propongo ampliar los horarios de atención en el hospital Hospital Evita.,Alta,En proceso,Web
ad5b8c12-339f-43a2-b514-359d9c93db7e,2024-09-08,Julia Olivera Martinez,57062459,juan-cruzvargas@example.net,+54 9 3925 5837,San Luis,Sugerencia,Registro de Personas,Deberían modernizar el sistema de seguimiento de trámites.,Media,En proceso,Presencial
