id,fecha,ciudadano_nombre,ciudadano_dni,ciudadano_email,ciudadano_telefono,localidad,tipo_solicitud,departamento_destino,texto_solicitud,prioridad,estado,canal_ingreso
0a3c4da5-b7ce-45d6-98c7-2e41b0a16c16,2024-12-21,Catalina Cabrera,48406277,ramosfrancesca@example.org,+54 15 2549 5259,Santa Rosa,Trámite,Ministerio de Desarrollo Social,Necesito renovar mi tarjeta alimentaria.,Baja,En proceso,Web
3cf4b08f-4967-48af-9247-f4a9484250e6,2025-06-13,Sr(a). Lisandro Aguirre,83514612,vdominguez@example.com,+54 15 2525 7036,Formosa,Queja,Ministerio de Ambiente,Empresa Empresa Gimenez PLC contamina el aire sin control en San Luis.,Baja,En proceso,Web
e032f8dd-d00a-48ac-b211-16dd8414058f,2024-11-01,Emilia Arias,70183387,valentinapereyra@example.org,+54 15 2324 8801,Formosa,Sugerencia,Registro de Personas,Propongo más oficinas de registro en el interior.,Alta,Pendiente,Teléfono
3273354e-2d6a-49a5-b545-6ec504a2c027,2025-06-28,Emilia Medina,23721490,thiago-benjamingonzalez@example.org,+54 15 2438 6769,La Rioja,Queja,Ministerio de Salud,Personal médico maltrata a los pacientes en HIGA. Necesitan capacitación urgente.,Alta,Resuelta,Web
b1859ea8-4264-46a1-bc9f-6d3dd91383a1,2024-08-31,Josefina Sanchez,30410504,guzmanbautista@example.com,+54 9 3897 9330,San Ferando del Valle de Catamarca,Sugerencia,Ministerio de Salud,Deberían instalar más consultorios móviles en zonas rurales.,Baja,En proceso,Email
8e4fb6d1-610b-46c8-9eba-7fa3f3cada5a,2025-08-04,Martina Quiroga Avila,47006811,guillermina65@example.net,+54 9 3232 6657,Río Gallegos,Trámite,Ministerio de Desarrollo Social,Quiero inscribirme en el programa de microcréditos.,Baja,Pendiente,Email
18fc8989-3211-4b5a-804b-74cf67f8b540,2024-09-15,Dr(a). Tomas Benjamin Garcia,57939736,ofernandez@example.net,+54 9 3102 5397,Rawson,Trámite,Ministerio de Producción,Quiero inscribirme en el registro de proveedores del estado.,Baja,Pendiente,Teléfono
603ffb4a-0934-4af7-94ca-a9c26c1a8c6c,2024-10-02,Malena Herrera Sanchez,99402745,wherrera@example.net,+54 15 2762 7476,Corrientes,Consulta,Ministerio de Desarrollo Social,¿Cómo solicito ayuda para adultos mayores?,Baja,Pendiente,Email
4e0286ec-4c42-4c61-833d-e8d056c8efd9,2025-06-12,Lucas Ezequiel Gomez,91425037,ccabrera@example.com,+54 15 2601 0114,San Salvador de Jujuy,Consulta,Ministerio de Obras Públicas,¿Qué empresa se encarga del mantenimiento de semáforos?,Alta,Resuelta,Email
a37efb17-6295-4dd9-a331-19e50ed68f2f,2025-04-04,Juana Romero,92119246,constanza69@example.org,+54 15 2873 1589,La Plata,Consulta,ARBA,¿Cómo solicito una factura de libre deuda?,Alta,Pendiente,Web
